,Player Name,Pos,Squad,Competition,Games,Gls,xG,Shots/90,xG/Shot,Ast,xA,Att Passes,Cmp Passes,Pass Dist,Key Passes,18Yrd Passes,Prog Pass,Prog Pass Dist,Tkl,Tkls OOP,Tkl Won,T_Att 3rd %,T_Mid 3rd %,T_Def 3rd %,Press,Presses OOP,Succ Presses,P_Att 3rd %,P_Med 3rd %,P_Def 3rd %,Touches,Att Pen Touches,Prog Receives,Carries,Prog Carries Dist,Gls Percentile,xG Percentile,Shots/90 Percentile,xG/Shot Percentile,Ast Percentile,xA Percentile,Att Passes Percentile,Cmp Passes Percentile,Pass Dist Percentile,Key Passes Percentile,18Yrd Passes Percentile,Prog Pass Percentile,Prog Pass Dist Percentile,Tkl Percentile,Tkls OOP Percentile,Tkl Won Percentile,T_Att 3rd % Percentile,T_Mid 3rd % Percentile,T_Def 3rd % Percentile,Press Percentile,Presses OOP Percentile,Succ Presses Percentile,P_Att 3rd % Percentile,P_Med 3rd % Percentile,P_Def 3rd % Percentile,Touches Percentile,Att Pen Touches Percentile,Prog Receives Percentile,Carries Percentile,Prog Carries Dist Percentile
0,Max Aarons,DF,Norwich City,eng Premier League,32.0,0.0,0.02,0.41,0.04878048780487805,0.06,0.04,45.0,34.0,574.1,0.59,1.13,2.94,214.8,2.16,3.7565217391304353,1.16,0.0,0.27314814814814814,0.7222222222222222,13.6,23.65217391304348,3.53,0.08970588235294118,0.3220588235294118,0.5860294117647059,58.0,0.91,1.28,33.9,121.7,0.2636083533036631,0.30417665183156456,0.3093118794933242,0.20562130177514792,0.624272509414584,0.4642245806230743,0.6011639849366656,0.5698390961999316,0.45224238274563505,0.47603560424512154,0.781752824375214,0.5955152345087299,0.5669291338582677,0.7013009243409791,0.609038000684697,0.6304347826086957,0.10239253852392538,0.23722627737226276,0.8937550689375506,0.42639507018144474,0.33378979801437864,0.35381718589524136,0.2525035765379113,0.16702432045779686,0.8615879828326181,0.6215337213283122,0.3656282095172886,0.3981513180417665,0.5496405340636769,0.7771311194796303
1,Yunis Abdelhamid,DF,Reims,fr Ligue 1,33.1,0.06,0.04,0.54,0.07407407407407407,0.0,0.02,47.0,38.7,835.8,0.24,0.18,2.72,287.9,1.87,3.2352941176470593,1.39,0.0160427807486631,0.320855614973262,0.6631016042780749,13.6,23.529411764705884,4.89,0.06470588235294118,0.3779411764705882,0.5595588235294118,57.3,0.85,0.36,35.7,115.5,0.6129750085587128,0.4205751454981171,0.3738445737761041,0.41166525781910396,0.2735364601163985,0.37076343717904825,0.6441287230400548,0.6814447107155084,0.765320095857583,0.3199246833276275,0.3262581307771311,0.5492981855528929,0.74871619308456,0.6047586442998973,0.5207120849024307,0.7432386169120164,0.20721816707218166,0.3288726682887267,0.8304947283049473,0.42639507018144474,0.33036631290653884,0.6145155768572407,0.20243204577968527,0.32260371959942774,0.8283261802575107,0.6054433413214653,0.34457377610407397,0.2733652858610065,0.6069839096199932,0.7403286545703526
2,Salis Abdul Samed,MF,Clermont Foot,fr Ligue 1,27.4,0.04,0.03,0.66,0.04545454545454545,0.0,0.04,61.0,55.9,1033.3,0.55,0.47,2.96,184.4,2.01,4.02,1.24,0.08955223880597016,0.45273631840796025,0.45273631840796025,23.4,46.8,6.53,0.1683760683760684,0.5256410256410257,0.3072649572649573,70.4,0.62,1.72,53.5,106.3,0.561622731941116,0.36152002738788086,0.4296473810338925,0.1798393913778529,0.2735364601163985,0.4642245806230743,0.875727490585416,0.9082505991098939,0.8853132488873673,0.4560082163642588,0.4746662102019856,0.5994522423827456,0.4873331051009928,0.6593632317699418,0.6480657309140705,0.6739130434782609,0.40632603406326034,0.6626115166261152,0.49635036496350365,0.87521396781924,0.8675111263266004,0.8568983224922971,0.45028612303290416,0.8490701001430615,0.4456366237482117,0.8512495720643615,0.27370763437179046,0.45361177678877096,0.9212598425196851,0.6787059226292366
3,Laurent Abergel,MF,Lorient,fr Ligue 1,32.8,0.0,0.06,0.91,0.06593406593406594,0.06,0.09,49.8,40.7,780.8,0.91,0.58,4.18,206.0,3.57,6.409335727109514,2.23,0.10364145658263306,0.4789915966386555,0.4173669467787115,28.0,50.269299820466784,7.9,0.12178571428571429,0.5464285714285715,0.33107142857142857,61.6,0.46,1.86,45.7,86.4,0.2636083533036631,0.5136939404313591,0.5350907223553577,0.34784446322907864,0.624272509414584,0.6525162615542622,0.704210886682643,0.7257788428620335,0.7059226292365628,0.6364258815474153,0.5366312906538857,0.8161588497090038,0.5403971242725094,0.9429989729544677,0.9031153714481343,0.937863745292708,0.45012165450121655,0.7149229521492295,0.43714517437145173,0.9418007531667237,0.9003765833618623,0.938719616569668,0.34048640915593703,0.8969957081545065,0.48283261802575106,0.7072920232796988,0.2204724409448819,0.469188634029442,0.8303663129065388,0.5241355700102704
4,Charles Abi,FW,Saint-Étienne,fr Ligue 1,0.5,0.0,0.0,0.0,nan,0.0,0.0,12.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,28.0,55.226824457593686,2.0,0.21428571428571427,0.7857142857142857,0.0,24.0,6.0,4.0,18.0,18.0,0.2636083533036631,0.1187949332420404,0.09551523450872988,,0.2735364601163985,0.13950701814447108,0.030126668948990073,0.0234508729887025,0.021910304690174597,0.10219103046901747,0.12102019856213625,0.07052379322149949,0.01454981170831907,0.078055460458747,0.078055460458747,0.09243409791167409,,,,0.9418007531667237,0.9335843889079083,0.15354330708661418,0.551859799713877,0.9878397711015737,0.020028612303290415,0.035090722355357755,0.9239986306059569,0.6473810338925026,0.12290311537144813,0.05426223895926053
5,Dickson Abiama,FW,Greuther Fürth,de Bundesliga,8.1,0.0,0.27,2.23,0.12162162162162161,0.12,0.14,17.2,11.1,160.0,0.99,0.74,1.6,40.7,1.73,3.0565371024734977,0.86,0.2832369942196532,0.49710982658959535,0.2138728323699422,23.5,41.51943462897526,4.81,0.46382978723404256,0.425531914893617,0.1102127659574468,33.0,3.83,5.93,19.0,40.2,0.2636083533036631,0.843033207805546,0.8235193426908592,0.7259087066779375,0.7629236562820951,0.8021225607668606,0.04792879150975693,0.049298185552892844,0.046901745977405,0.672030126668949,0.6167408421773365,0.30571722013009245,0.109380349195481,0.5578568983224923,0.4887024991441287,0.4655939746662102,0.8280616382806164,0.7451338199513382,0.1597729115977291,0.8774392331393358,0.7894556658678534,0.6004792879150975,0.8909155937052933,0.5042918454935622,0.13054363376251787,0.11502909962341663,0.766689489900719,0.7774734679904143,0.1391646696336871,0.16347141389934955
6,Matthis Abline,FW,Rennes,fr Ligue 1,1.1,0.0,0.27,1.75,0.14835164835164835,0.0,0.0,9.09,7.27,90.9,0.91,0.91,0.91,20.0,0.0,0.0,0.0,nan,nan,nan,23.6,54.0045766590389,3.64,0.30805084745762706,0.5381355932203389,0.1542372881355932,22.7,2.73,7.27,16.4,31.8,0.2636083533036631,0.843033207805546,0.7365628209517289,0.8402366863905325,0.2735364601163985,0.13950701814447108,0.023964395754878465,0.028072577884286205,0.027387880862718247,0.6364258815474153,0.6997603560424512,0.19770626497774735,0.04467648065730914,0.078055460458747,0.078055460458747,0.09243409791167409,,,,0.8798356727148237,0.9275932899691887,0.3716193084560082,0.7103004291845494,0.8794706723891274,0.18776824034334763,0.029784320438206092,0.6621020198562136,0.8657993837726806,0.09791167408421773,0.11365970558028073
7,Tammy Abraham,FW,Roma,it Serie A,34.3,0.5,0.6,2.71,0.22140221402214022,0.12,0.1,20.2,14.6,224.9,1.02,0.82,1.78,51.2,0.99,2.037037037037037,0.64,0.26262626262626265,0.4444444444444445,0.29292929292929293,13.6,27.983539094650205,4.02,0.4823529411764706,0.4198529411764706,0.0985294117647059,32.4,5.86,6.71,18.0,39.4,0.9560082163642588,0.9727832933926738,0.8942143101677508,0.9666103127641589,0.7629236562820951,0.6896610749743238,0.08969530982540226,0.10920917494008901,0.11434440260184868,0.6852105443341322,0.6602191030469018,0.33978089695309827,0.1454981170831907,0.2957891133173571,0.3087983567271482,0.34440260184868193,0.8057583130575832,0.644566098945661,0.2315490673154907,0.42639507018144474,0.44265662444368364,0.453440602533379,0.9073676680972819,0.47746781115879827,0.11659513590844063,0.10595686408764123,0.9186922286888052,0.8336186237589867,0.12290311537144813,0.15593974666210203
8,Luis Abram,DF,Granada,es La Liga,6.2,0.0,0.08,0.32,0.25,0.0,0.0,35.5,31.3,696.8,0.0,0.0,1.45,186.0,1.13,2.0397111913357397,0.97,0.14159292035398233,0.14159292035398233,0.7168141592920355,5.65,10.1985559566787,2.1,0.02831858407079646,0.5716814159292035,0.3999999999999999,46.8,0.81,0.16,25.2,77.1,0.2636083533036631,0.5859294762067785,0.2685724067100308,0.9771766694843618,0.2735364601163985,0.13950701814447108,0.36494351249572066,0.5030811365970558,0.6021910304690175,0.10219103046901747,0.12102019856213625,0.281068127353646,0.4907565902088326,0.34423142759328995,0.3094830537487162,0.531324888736734,0.5650851581508516,0.0908353609083536,0.8913219789132197,0.11520027387880863,0.11023622047244094,0.16021910304690173,0.11856223175965665,0.9395565092989986,0.6101573676680973,0.35826771653543305,0.3298527901403629,0.21910304690174598,0.2885997945908935,0.4467648065730914
9,Francesco Acerbi,DF,Lazio,it Serie A,28.2,0.14,0.08,0.57,0.14035087719298248,0.0,0.01,71.1,64.3,1345.5,0.21,0.21,3.12,409.9,0.96,2.1621621621621623,0.43,0.0,0.33333333333333337,0.6666666666666667,5.85,13.175675675675677,1.7,0.06666666666666668,0.411965811965812,0.5213675213675214,80.2,0.78,0.35,52.4,161.6,0.7416980486134885,0.5859294762067785,0.38685381718589523,0.812764158918005,0.2735364601163985,0.312221841834988,0.9452242382745635,0.9560082163642588,0.9661074974323862,0.3046901745977405,0.34132146525162615,0.6302636083533036,0.921944539541253,0.2879150975693256,0.3296816158849709,0.2511126326600479,0.10239253852392538,0.36394971613949717,0.8444849959448499,0.11742553919890449,0.1280383430332078,0.13830879835672716,0.2063662374821173,0.44527896995708155,0.7821888412017167,0.9328996918863403,0.3216364258815474,0.27148236905169465,0.9127011297500855,0.9162957891133173
