,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,38,1.19,27,2,3,4,2,0,5,0.16,5,0,0,0,0,0,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,21,0.63,14,0,3,1,0,3,1,0.03,0,0,1,0,0,0,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,40,1.46,30,0,0,4,4,2,1,0.04,1,0,0,0,0,0,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,66,2.01,49,2,1,1,7,6,5,0.15,4,0,0,0,1,0,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,20,2.48,12,0,0,1,2,5,2,0.25,1,0,0,1,0,0,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,1,0.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,23,1997,34.3,80,2.33,56,1,1,13,6,3,12,0.35,5,0,1,3,3,0,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25,1996,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33,1988,28.2,18,0.64,14,1,0,1,2,0,2,0.07,1,0,0,0,1,0,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,5,1.74,3,0,1,1,0,0,1,0.35,0,0,0,1,0,0,Matches
12,Mohamed Achi\1e93fc5d,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,66,2.63,42,16,1,3,4,0,3,0.12,1,2,0,0,0,0,Matches
