,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,0,0.41,0.06,15.4,0.41,0.06,0,0,20.5,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,0.06,0.54,0.18,33.3,0.54,0.18,0.11,0.33,18.7,0,0,0,0.04,0.04,0.07,0.02,0.02,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,0.04,0.66,0.18,27.8,0.66,0.18,0.06,0.2,20.3,0,0,0,0.03,0.03,0.04,0.01,0.01,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0,0.91,0.21,23.3,0.91,0.21,0,0,22.6,0,0,0,0.06,0.06,0.07,-0.06,-0.06,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,0,2.22,0.49,22.2,2.23,0.5,0,0,15.6,0,0,0,0.27,0.27,0.12,-0.27,-0.27,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,1.82,0,0,1.75,0,0,,8.6,0,0,0,0.27,0.27,0.17,-0.27,-0.27,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,23,1997,34.3,0.5,2.71,0.93,34.4,2.71,0.93,0.15,0.44,12.2,0.06,0.09,0.09,0.6,0.53,0.2,-0.1,-0.13,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25,1996,6.2,0,0.32,0,0,0.32,0,0,,7,0,0,0,0.08,0.08,0.24,-0.08,-0.08,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33,1988,28.2,0.14,0.57,0.25,43.8,0.57,0.25,0.25,0.57,9.2,0,0,0,0.08,0.08,0.14,0.06,0.06,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,0,3.79,0.69,18.2,3.82,0.69,0,0,15.8,0,0,0,0.17,0.17,0.05,-0.17,-0.17,Matches
12,Mohamed Achi\1e93fc5d,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
13,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,0.04,0.68,0.2,29.4,0.68,0.2,0.06,0.2,22.1,0.04,0,0,0.06,0.06,0.08,-0.02,-0.02,Matches
14,Che Adams\f2bf1b0f,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0.31,2.16,1.06,49,2.16,1.06,0.14,0.29,12.9,0,0,0,0.31,0.31,0.14,0,0,Matches
15,Tyler Adams\2b09d998,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,0,0.13,0,0,0.13,0,0,,19.4,0,0,0,0.01,0.01,0.08,-0.01,-0.01,Matches
16,Sargis Adamyan\22919e97,am ARM,FWMF,Hoffenheim,de Bundesliga,28,1993,3.7,0.27,0.81,0.54,66.7,0.82,0.54,0.33,0.5,16.7,0,0,0,0.14,0.14,0.17,0.14,0.14,Matches
17,Martin Adeline\7587446d,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,0,1.03,0.26,25,1.02,0.26,0,0,10.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
18,Amine Adli\dcfb17f4,fr FRA,FWMF,Leverkusen,de Bundesliga,21,2000,14,0.21,2.71,1.36,50,2.72,1.36,0.08,0.16,15.3,0,0,0,0.32,0.32,0.12,-0.11,-0.11,Matches
19,Yacine Adli\26777636,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,0.04,1.31,0.6,45.5,1.31,0.6,0.03,0.07,19.9,0.16,0,0,0.09,0.09,0.07,-0.05,-0.05,Matches
20,Michel Aebischer\f9c927de,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,0,0.41,0.41,100,0.41,0.41,0,0,20.8,0,0,0,0.02,0.02,0.07,-0.02,-0.02,Matches
21,Felix Afena-Gyan\0154d290,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,0.27,2.43,0.95,38.9,2.43,0.94,0.11,0.29,15,0,0,0,0.26,0.26,0.1,0.01,0.01,Matches
22,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,es La Liga,25,1996,18,0,0.28,0,0,0.28,0,0,,19.8,0,0,0,0.01,0.01,0.04,-0.01,-0.01,Matches
23,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
24,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0,0.77,0.05,6.3,0.77,0.05,0,0,10.8,0,0,0,0.05,0.05,0.07,-0.05,-0.05,Matches
25,Kevin Agudelo\46fa7204,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,0.22,1.61,0.8,50,1.6,0.8,0.14,0.27,16.6,0,0,0,0.18,0.18,0.11,0.04,0.04,Matches
26,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,0.07,0.82,0.23,28,0.82,0.23,0.08,0.29,8.6,0,0,0,0.06,0.06,0.07,0,0,Matches
27,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,0.59,3.53,0.59,16.7,3.58,0.6,0.17,1,12.1,0,0,0,0.65,0.65,0.18,-0.06,-0.06,Matches
28,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,0,0.42,0.08,20,0.42,0.08,0,0,22.2,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
29,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
30,Naouirou Ahamada\a6c58494,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
31,Anel Ahmedhodzic\eab957a3,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,0,0.47,0.27,57.1,0.47,0.27,0,0,14.8,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
32,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,0.09,1.52,0.18,11.8,1.52,0.18,0.06,0.5,20.2,0,0,0,0.14,0.14,0.09,-0.05,-0.05,Matches
33,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,0,0.2,0.03,16.7,0.2,0.03,0,0,12.8,0,0,0,0.01,0.01,0.07,-0.01,-0.01,Matches
