,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Max Aarons\774cf58b,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,34,45,75.5,574.1,214.8,17.5,19.4,90,13.1,17,77,3.06,6.78,45.2,0.06,0.04,0.02,0.59,1.56,1.13,0.25,2.94,Matches
2,Yunis Abdelhamid\32c2d95f,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,38.7,47,82.4,835.8,287.9,10.2,11.4,89.9,22.4,25,89.4,5.65,9.15,61.7,0,0.02,-0.02,0.24,2.45,0.18,0,2.72,Matches
3,Salis Abdul Samed\82464ce3,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,55.9,61,91.7,1033.3,184.4,22.5,24.1,93.5,25.8,27.2,94.9,6.72,7.81,86,0,0.04,-0.04,0.55,2.81,0.47,0.04,2.96,Matches
4,Laurent Abergel\31626657,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,40.7,49.8,81.6,780.8,206,16.3,18.4,88.6,17.3,19.6,87.9,6.25,9.39,66.6,0.06,0.09,-0.03,0.91,3.87,0.58,0.18,4.18,Matches
5,Charles Abi\469d3d84,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,4,12,33.3,48,0,2,4,50,2,6,33.3,0,0,,0,0,0,0,0,0,0,0,Matches
6,Dickson Abiama\cadd666a,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11.1,17.2,64.7,160,40.7,6.67,9.63,69.2,3.09,4.69,65.8,0.62,1.23,50,0.12,0.14,-0.01,0.99,0.86,0.74,0,1.6,Matches
7,Matthis Abline\0e46fa2f,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,7.27,9.09,80,90.9,20,3.64,5.45,66.7,3.64,3.64,100,0,0,,0,0,0,0.91,0.91,0.91,0,0.91,Matches
8,Tammy Abraham\f586779e,eng ENG,FW,Roma,it Serie A,23,1997,34.3,14.6,20.2,72,224.9,51.2,8.69,11.4,76.2,4.05,5.86,69.2,1.28,1.6,80,0.12,0.1,0.01,1.02,1.08,0.82,0.12,1.78,Matches
9,Luis Abram\1f462f95,pe PER,DF,Granada,es La Liga,25,1996,6.2,31.3,35.5,88.2,696.8,186,6.77,7.42,91.3,18.5,20,92.7,5.81,7.74,75,0,0,0,0,1.29,0,0,1.45,Matches
10,Francesco Acerbi\b96b595c,it ITA,DF,Lazio,it Serie A,33,1988,28.2,64.3,71.1,90.3,1345.5,409.9,20.1,21.6,93.1,33.3,35.3,94.4,9.93,12.9,77.1,0,0.01,-0.01,0.21,4.33,0.21,0,3.12,Matches
11,Ragnar Ache\dc38e3bc,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,14.5,24.5,59.2,209.3,43.8,7.59,12.1,62.9,5.86,9.31,63,0.34,1.03,33.3,0.34,0.1,0.24,0.69,1.03,0.69,0.69,1.03,Matches
12,Mohamed Achi\1e93fc5d,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,30,50,60,490,0,10,10,100,20,20,100,0,10,0,0,0,0,0,0,0,0,0,Matches
